WVSC,SOURCEID,SOURCE_ID,PARALLAX,PARALLAX_ERROR
148,8.59E+11,4.28E+18,0.375326775,0.096933305
149,8.59E+11,4.28E+18,0.354377817,0.070262805
150,8.59E+11,4.28E+18,0.170213212,0.086788304
151,8.59E+11,4.28E+18,0.973149007,1.5403963
152,8.59E+11,4.28E+18,0.46170178,0.027018012
153,8.59E+11,4.28E+18,0.210497779,0.2220203
154,8.59E+11,4.28E+18,1.005425247,0.3481816
155,8.59E+11,4.28E+18,0.168749228,0.14278844
156,8.59E+11,4.28E+18,0.225915084,0.06914329
157,8.59E+11,4.28E+18,0.935976371,0.1944466
158,8.59E+11,4.28E+18,0.556091212,0.11356967
159,8.59E+11,2.69E+18,0.573604813,0.027128557
160,8.59E+11,2.69E+18,0.892075218,0.0481017
161,8.59E+11,4.28E+18,-1.336227959,1.2229551
162,8.59E+11,4.28E+18,0.314779204,0.12008552
163,8.59E+11,4.28E+18,1.154976948,0.27957985
164,8.59E+11,4.28E+18,0.936687618,0.037222438
165,8.59E+11,4.28E+18,0.472264657,0.068396196
166,8.59E+11,4.28E+18,0.11621742,0.10120665
167,8.59E+11,4.28E+18,0.560121465,0.17561084
168,8.59E+11,4.28E+18,-0.4662797,0.42089447
169,8.59E+11,4.28E+18,0.125061496,0.39265695
170,8.59E+11,4.28E+18,0.479198077,0.104399726
171,8.59E+11,4.28E+18,0.116349246,0.055730317
172,8.59E+11,4.28E+18,0.17253247,0.09189982
173,8.59E+11,4.28E+18,-1.222055213,1.0435125
174,8.59E+11,4.28E+18,2.729631681,0.06586407
175,8.59E+11,4.28E+18,0.099090145,0.1504618
176,8.59E+11,4.28E+18,-0.822658282,1.4338211
177,8.59E+11,4.28E+18,0,0
178,8.59E+11,4.28E+18,0.47757078,0.24009226
179,8.59E+11,4.28E+18,0.610636147,0.40976202
180,8.59E+11,4.28E+18,-0.930481325,0.8849369
181,8.59E+11,4.28E+18,0.472563943,0.4144188
182,8.59E+11,4.28E+18,0.274636365,0.77373964
183,8.59E+11,4.28E+18,0.463463969,0.41060734
184,8.59E+11,4.28E+18,0.241329706,0.20625277
185,8.59E+11,4.28E+18,0.417631853,0.10540387
186,8.59E+11,4.27E+18,1.117997514,0.7679662
191,8.59E+11,4.27E+18,2.72405038,0.59045416
192,8.59E+11,4.27E+18,1.989588186,0.09914395
196,8.59E+11,4.27E+18,2.284918685,0.034428332
198,8.59E+11,4.27E+18,2.323932416,0.2518104
199,8.59E+11,4.27E+18,0.648973015,0.5024643
201,8.59E+11,4.28E+18,-0.390182155,0.31822553
203,8.59E+11,4.28E+18,-0.161178699,0.20386799
204,8.59E+11,4.28E+18,2.537074798,1.1395088
205,8.59E+11,4.27E+18,2.090762016,1.3457282
206,8.59E+11,4.28E+18,0.360939223,0.09813276
207,8.59E+11,4.27E+18,1.738555598,0.07934233
209,8.59E+11,4.28E+18,0.222108341,0.17872381
210,8.59E+11,4.28E+18,0.531646356,1.1065853
211,8.59E+11,4.28E+18,0.400395851,0.52219313
212,8.59E+11,2.65E+18,3.177717281,0.024120066
213,8.59E+11,2.65E+18,0.171627954,0.08030438
214,8.59E+11,3.70E+18,0.563514111,0.043703
215,8.59E+11,3.11E+18,0.586637715,0.022291109
216,8.59E+11,3.11E+18,0.196670669,0.15580787
217,8.59E+11,3.11E+18,0.151789524,0.041741937
218,8.59E+11,3.11E+18,0.185600364,0.06606506
219,8.59E+11,3.11E+18,0.147698925,0.064150125
220,8.59E+11,3.11E+18,0.225686604,0.046888564
221,8.59E+11,3.12E+18,0.52886818,0.14954224
222,8.59E+11,3.12E+18,0.225311506,0.13873123
223,8.59E+11,3.12E+18,0.082306357,0.114586525
224,8.59E+11,3.12E+18,0.895741867,0.060816657
225,8.59E+11,3.12E+18,0.708386279,0.03714251
226,8.59E+11,3.12E+18,0.261680338,0.087805144
227,8.59E+11,3.12E+18,1.078425076,0.24113463
228,8.59E+11,3.25E+18,0.376157172,0.070341654
229,8.59E+11,3.12E+18,-0.374354013,0.17534153
230,8.59E+11,3.12E+18,0.103260736,0.4899939
231,8.59E+11,3.12E+18,0.109110428,0.09159516
232,8.59E+11,3.12E+18,0.616787988,0.031459536
233,8.59E+11,3.12E+18,0.694910229,0.013427388
234,8.59E+11,3.12E+18,0.204636848,0.13931695
235,8.59E+11,2.64E+18,0,0
236,8.59E+11,2.64E+18,0.373508138,0.028118372
237,8.59E+11,6.34E+18,0.352837769,0.042558078
238,8.59E+11,6.34E+18,0.875792334,0.041050196
239,8.59E+11,6.34E+18,0.086945298,0.04559893
240,8.59E+11,3.10E+18,0.133128552,0.055861205
241,8.59E+11,3.10E+18,0.407938878,0.09329225
242,8.59E+11,3.10E+18,-0.232835698,0.5678075
243,8.59E+11,3.10E+18,0.069125205,0.26782635
244,8.59E+11,3.10E+18,1.261174416,0.13996834
245,8.59E+11,3.10E+18,0.485791511,0.027093235
246,8.59E+11,3.10E+18,0.021306562,0.1584399
247,8.59E+11,3.10E+18,0.303763211,0.032267265
248,8.59E+11,3.10E+18,0.714172746,0.25293478
249,8.59E+11,3.10E+18,0.641883465,0.024360469
250,8.59E+11,3.10E+18,0.752704992,0.074255474
251,8.59E+11,3.10E+18,0.415873485,0.16843294
252,8.59E+11,3.10E+18,0.610808481,0.027291248
253,8.59E+11,3.10E+18,0.141002215,0.048844047
254,8.59E+11,3.10E+18,0.333045004,0.06137116
255,8.59E+11,3.10E+18,0.609963201,0.3361341
256,8.59E+11,3.10E+18,-0.024111342,0.5494913
257,8.59E+11,3.10E+18,1.074235226,0.034719724
258,8.59E+11,3.10E+18,0.541056069,0.49378935
259,8.59E+11,3.10E+18,0.597971573,0.9530173
260,8.59E+11,3.10E+18,0.488976318,0.20045044
261,8.59E+11,3.10E+18,0.434942354,0.19082484
262,8.59E+11,3.10E+18,0.171368466,0.114466004
263,8.59E+11,3.10E+18,0.080357406,0.51457286
264,8.59E+11,3.10E+18,0.460548241,0.57497567
265,8.59E+11,3.10E+18,0.462765984,0.15988046
266,8.59E+11,3.10E+18,0.370279903,0.18748741
267,8.59E+11,3.10E+18,0.416309347,0.6623844
268,8.59E+11,3.79E+18,0.258633776,0.21069087
269,8.59E+11,3.63E+18,-0.112663458,0.07722384
270,8.59E+11,2.47E+18,0.052647234,0.16595103
271,8.59E+11,5.76E+18,0.590335402,0.0976029
272,8.59E+11,5.75E+18,0.496206757,0.026590327
273,8.59E+11,2.61E+18,-0.021945823,0.078487895
274,8.59E+11,3.75E+18,0.004075121,0.35436153
275,8.59E+11,6.86E+18,0.882533105,0.025598567
277,8.59E+11,1.33E+18,0.034265697,0.10734102
278,8.59E+11,1.85E+18,1.18610797,0.01736746
279,8.59E+11,1.45E+18,1.66322964,0.030850308
280,8.59E+11,3.94E+18,0.408543831,0.36616063
281,8.59E+11,3.35E+18,1.078701619,0.029739158
282,8.59E+11,3.35E+18,0.973025985,0.014883589
283,8.59E+11,1.74E+18,0.766991568,0.041999724
285,8.59E+11,4.28E+18,0.176211734,0.11647083
288,8.59E+11,2.69E+18,1.754482258,0.03485572
289,8.59E+11,2.69E+18,1.071732758,0.1420491
290,8.59E+11,4.27E+18,0.084479682,0.12533501
291,8.59E+11,4.27E+18,2.213139122,0.13071756
292,8.59E+11,4.27E+18,2.426636533,0.14390983
293,8.59E+11,4.27E+18,2.134893305,0.13907793
294,8.59E+11,4.27E+18,2.316073229,0.050167475
297,8.59E+11,4.27E+18,3.243210541,0.30723453
299,8.59E+11,4.27E+18,2.116358906,0.26416674
300,8.59E+11,4.27E+18,0.402589775,0.23260722
301,8.59E+11,4.27E+18,0.516061817,0.1921923
302,8.59E+11,4.27E+18,2.494932715,0.13632117
303,8.59E+11,4.27E+18,2.329306935,0.04347688
304,8.59E+11,4.27E+18,2.394749449,0.1592038
305,8.59E+11,4.27E+18,2.230629019,0.895059
307,8.59E+11,4.28E+18,0.356914001,0.041597456
308,8.59E+11,3.11E+18,0.689848669,0.06963427
309,8.59E+11,3.12E+18,1.152558135,0.02804655
310,8.59E+11,3.12E+18,1.190176204,0.2017031
311,8.59E+11,3.10E+18,0.642884307,0.023575729
312,8.59E+11,3.10E+18,3.514697501,0.02103509
313,8.59E+11,3.10E+18,0.164134805,0.35834375
314,8.59E+11,3.10E+18,0.139360297,0.26135844
315,8.59E+11,3.10E+18,0.309531215,0.10367092
317,8.59E+11,3.10E+18,0.657500122,0.66213536
318,8.59E+11,3.10E+18,1.230419611,0.067078985
319,8.59E+11,6.86E+18,0.530962746,0.9912832
320,8.59E+11,2.23E+17,1.539766379,0.028777836
321,8.59E+11,1.45E+18,-0.025366656,0.13358083
322,8.59E+11,3.35E+18,1.341858687,0.038154684
323,8.59E+11,6.05E+17,1.132013776,0.018676478
324,8.59E+11,6.05E+17,1.150362727,0.016465483
325,8.59E+11,6.05E+17,0.43883311,0.29636177
326,8.59E+11,6.05E+17,1.148617501,0.01457415
327,8.59E+11,6.05E+17,1.141712972,0.020467909
328,8.59E+11,6.05E+17,1.208570452,0.015078284
329,8.59E+11,6.05E+17,1.16440762,0.015232681
330,8.59E+11,6.05E+17,2.452925487,1.6475452
331,8.59E+11,6.05E+17,1.177161123,0.031319473
332,8.59E+11,6.05E+17,1.166103632,0.03296236
333,8.59E+11,6.05E+17,1.14643992,0.015513437
334,8.59E+11,3.25E+18,1.151488979,0.11584004
