,Unnamed: 0,T1,T2,N1,N2,CHI1,CHI2,WVSC
0,0,1925.8549599780908,1854.2509374011972,7.615495999538938e-16,5.152857038812503e-16,3.245291672406836,0.6427937867772682,11
1,1,1857.781161093941,3176.2873820408763,1.6082753194505657e-15,1.464623794788396e-16,1.852672372772671,0.3489614390612181,22
2,2,1982.1494927764504,2199.392404041555,6.784562624270966e-16,3.3850121343808224e-16,0.4201502851720065,0.3581666350994738,23
3,3,2633.9166133693807,2489.2002010504816,2.838414559734896e-15,6.631815753245399e-15,37.58738665975242,77.27768646283377,25
4,4,1830.6998471518243,1776.5746209661345,2.472128768087932e-15,6.607884707334969e-15,1.5040553802106964,30.26523414592261,26
5,5,2264.927373614762,2211.000580530312,1.5353915059209253e-15,4.135579025428932e-15,1.8174546849183209,12.522301988671996,31
6,6,2749.7203454770124,2693.3494530362896,8.672438553681273e-15,2.0655668383364477e-14,104.55236115148983,1155.8686070398137,32
7,7,1930.249794027148,2129.209882295536,1.7199483743561613e-15,1.6657828383883448e-15,0.4218916132638655,0.8785635893922024,33
8,8,1440.2869729101835,2044.9443504277672,1.3091639738610288e-14,1.2643414444914625e-15,16.611682165735076,0.4318072480632996,38
9,9,2464.2149887602245,2499.53111057137,2.4139126492936635e-15,2.9601326927322376e-15,11.326991711327564,45.78396715742469,41
10,10,1992.615449903887,1869.142845626081,1.6695918941524713e-15,3.131489208594919e-15,2.1239417560138785,1.952644397424472,42
11,11,2061.3543169009813,3013.0200068415274,2.680111778577297e-16,8.543748804424459e-17,1.888138757521853,0.3394802091160981,52
12,12,2696.658655538246,2359.9215110542623,6.988452629210244e-15,2.1046163736737324e-14,215.8595803331467,222.70465630882325,63
13,13,2684.6760648721715,2034.001362199818,4.778762775050877e-15,9.408602121767248e-15,109.2413377499173,31.448885102492305,66
14,14,1926.452719451069,1781.8906729251617,2.0168957099772403e-15,1.3402915109291244e-14,2.3416521643669346,3.0842332887989707,68
15,15,1941.7247430094596,2328.462327039132,1.3371909322257969e-15,1.813060543506898e-15,1.7729838041651955,4.141245761262926,75
16,16,2137.0822341011617,2294.9364869845613,8.953494854635159e-16,1.069062907924179e-15,4.679734006247289,2.482331879232742,78
17,17,2348.500809335484,2435.340484072596,1.0035327520100149e-15,1.410368500192687e-15,5.564521965169503,4.616047295655368,79
18,18,2126.155383297348,2356.074692221828,1.145375643557191e-15,8.97884869378004e-16,2.784673742197179,1.2926023184425968,80
19,19,2689.3494859354496,2963.548174328051,1.6576043489389814e-14,2.7450820444364508e-14,2425.611339367093,1030.8695332423936,93
20,20,2823.1736641945395,2519.294817947643,2.095604596089016e-14,1.2796144515806198e-13,366.10689750655615,3052.965015596204,95
21,21,1664.5720297857392,1953.567627638796,4.2515989583233545e-14,4.7669336594078374e-14,658.0046865389054,717.7976693298581,98
22,22,1919.184907355217,1928.554836997756,4.3175137246992006e-15,1.2875000523867091e-14,6.728505044025479,22.365728556455103,103
23,23,1745.6087697746689,2016.801382605969,3.169663852537768e-15,1.2930187614809472e-15,4.921392723370614,3.561468275938356,107
24,24,2007.2848718246328,1881.551973623997,5.340257603190013e-16,9.27758093820012e-16,0.0797675687655789,0.1665391705167253,108
25,25,2004.0690536443628,2100.128199226513,5.5044931632913074e-15,3.642841681678697e-15,1.6259119818085388,11.64444133022921,110
26,26,2282.4464106753107,2207.222214816934,4.004751914820009e-15,1.4277988867554803e-14,305.0435881127207,513.428902177091,120
