,T1,T2,N1,N2,CHI1,CHI2,WVSC
0,1925.8550571603064,1854.2512925103877,7.212202434550169e-17,4.879972957798262e-17,3.2452916724102945,0.642793786771561,11
1,1857.7815651015967,3176.28747179067,5.929646992920504e-16,5.4000154238200486e-17,1.8526723727517567,0.34896143906122734,22
2,1982.1495039903134,2199.3925188478133,5.944159393943257e-16,2.965710128290095e-16,0.4201502851720118,0.35816663509933266,23
3,2633.9166889474127,2489.198959945313,3.304459789578121e-16,7.720727133234501e-16,37.587386659748304,77.27768646026531,25
4,1830.6997307983647,1776.57474586072,2.3044517517018646e-17,6.159686480088884e-17,1.5040553802106824,30.26523414594656,26
5,2264.927475437395,2211.0005082820403,1.5429989731077413e-18,4.156071677502024e-18,1.8174546849178588,12.522301988674059,31
6,2749.721002803388,2693.3486916194743,4.996054881749761e-16,1.1899431893453734e-15,104.55236115254282,1155.8686070710821,32
7,1930.249487374492,2129.209708383361,1.8792710817942483e-16,1.8200870539230083e-16,0.42189161326513913,0.8785635893911636,33
8,1440.2836229019022,2044.9443487890117,1.925954805946327e-15,1.8599909048844986e-16,16.61168215967561,0.43180724806330045,38
9,2464.2149654901623,2499.531542731527,3.772364154461291e-16,4.625970167627128e-16,11.326991711327649,45.78396715737596,41
10,1992.6160503760839,1869.1427742322717,3.433997830705182e-17,6.440823116230086e-17,2.12394175595875,1.9526443974243346,42
11,2061.3543077912254,3013.0200169245013,6.37175844869482e-17,2.0312101042004254e-17,1.888138757521876,0.33948020911609467,52
12,2696.658701687769,2359.921333730674,1.9959138041749273e-16,6.010822387383809e-16,215.85958033294128,222.70465630858882,63
13,2684.676032198459,2034.001360040655,3.813151917993277e-16,7.507471927083757e-16,109.24133774996056,31.44888510249301,66
14,1926.452579707338,1781.8906921357116,2.196046898307339e-17,1.45934254620891e-16,2.3416521643731456,3.084233288799322,68
15,1941.7252229058836,2328.4624863094427,9.516741856936789e-18,1.290350298516103e-17,1.7729838041715964,4.141245761259434,75
16,2137.0823017227276,2294.9363391813645,1.6204560471692117e-13,1.934853784107085e-13,4.679734006247576,2.482331879232963,78
17,2348.499160314404,2435.3404831248486,2.8696652671713095e-14,4.0330227230534976e-14,5.564521965075456,4.61604729565536,79
18,2126.155436534409,2356.0746921908385,5.404162032440082e-16,4.236440702211395e-16,2.784673742196288,1.2926023184426099,80
19,2689.3498589146943,2963.547990352442,2.0311567922241697e-16,3.3637079665418106e-16,2425.611339374943,1030.8695332418504,93
20,2823.1734388062255,2519.2948679736915,7.167212955297011e-17,4.376429264783072e-16,366.10689750703307,3052.965015595014,95
21,204.0659121288445,1953.5681415032843,1.540729022356506e-17,1.617370043182248e-16,9206.230184359856,717.797669319151,98
22,1919.1849223275124,1928.554828046002,4.855896642446983e-17,1.4480481225365814e-16,6.728505044025291,22.36572855645511,103
23,1745.6089383982646,2016.8013675436257,1.6236565716422215e-16,6.623477584008787e-17,4.921392723372885,3.561468275938281,107
24,2007.2850207771091,1881.5519634676125,2.7404391509928057e-17,4.7609423837049806e-17,0.07976756876619187,0.16653917051667885,108
25,2004.0690132402729,2100.1281299629914,2.1241848302367735e-15,1.4057733655124564e-15,1.6259119818079841,11.64444133022355,110
26,2282.4467071612985,2207.221718613981,7.690197936659157e-17,2.7417619884151664e-16,305.04358811444376,513.4289021815423,120
27,2351.8725409206963,2015.993160326768,2.8905158202369594e-16,6.389689181328403e-16,21.859918220673602,3.340925327697727,121
28,1767.8710131485816,1855.1735735211732,1.0456120180157148e-17,7.216845767189338e-18,0.49032148928360086,1.264386904450481,122
29,1926.7550353006184,2164.9344368348557,2.1580819947875343e-15,3.4144594353375307e-15,28.9551736366822,5.300878709889333,124
30,1797.0168495000744,2053.123929763621,1.2254508525487313e-16,4.911014387160857e-17,0.38330765462811656,0.4461918957851866,127
31,2272.6029362644913,1699.2791542237399,1.7976151832979954e-15,3.1941443697336418e-15,151.44152329004706,33.781962790188174,137
32,1863.689599645861,1935.4949213416432,3.6745675151007753e-16,7.833123120359198e-16,0.1658732164289524,1.5881554667851803,141
33,1875.4144497775435,2304.1433875195694,7.92622029260397e-15,3.6127836600823e-15,2.379913069195425,0.9144722471346088,144
34,1669.3872350286417,1873.3958634272701,5.828035717633686e-17,6.315168362249367e-17,0.7994505732446622,3.7479855140702276,145
35,2183.5345519007683,2159.3995543231854,1.3050406029780486e-16,1.7186657953287456e-16,1.7044831353782077,1.6386633584516792,146
36,2298.7677668769825,2060.6592415760224,8.523950777057883e-16,2.488469500243933e-15,14.952529886639606,1.405605088768842,150
37,1695.7873521976028,1820.3483260826913,1.555256458985012e-17,6.705264838476509e-18,0.5224909451869187,0.302758868104506,151
38,1693.5708663851858,1647.9434796794749,1.4149848789529113e-17,2.0125938688891575e-17,0.429505383090469,0.9398292467127183,161
39,1953.6521280961356,2003.9351885383855,5.942873198872926e-16,1.3605222764683453e-15,41.37274681702839,581.0754968789001,164
40,2080.045360328862,1944.1472302170077,3.630841964150502e-16,9.63443740740669e-16,9.137106621780301,127.99924550779373,165
41,1953.4421041970115,1889.493969703091,1.4656411829957424e-16,8.063958572927709e-16,0.6362584681042066,41.511339806788484,170
42,2156.464449063423,1945.3349543853083,5.297943990518905e-16,6.105986677681074e-15,4.40682307991841,35.16779128972096,172
43,1881.3062687917163,1734.4285217518252,4.77037258361431e-15,1.8991136930681417e-14,2.013575076106638,36.02831498999027,175
44,1864.37310162662,1716.331268653852,6.695241876182332e-17,7.794625799009878e-16,0.4560574214309509,33.1437423141659,178
45,1728.4474707716229,1681.838966755372,3.965956243755345e-17,2.5034869840836193e-17,16.16364735341663,3.9157958363085705,180
46,1628.443470507683,1688.5008463951365,3.219226801057454e-15,3.992889361061843e-15,7.849545116963837,32.75772575791329,184
47,1707.381494556567,1525.162804712496,2.9406079160986965e-15,4.608251696705566e-15,148.0651555287649,195.84054114009777,185
48,1629.489591317047,206.83751802736515,2.995109493408172e-17,7.610070685800773e-18,5.858736671707117,1517.3717974278766,186
49,1655.4167058229343,53.498062965793906,2.229600682174555e-17,3.0471189796044694e-18,1.1042369104254428,155.87238312163885,188
50,1680.332063894686,1668.8937105873406,2.4425048635271572e-17,2.0580264146750608e-17,1.8394191318378499,1.8255140602356241,189
51,1671.5981595729452,1549.1912215420036,1.8996742903286872e-17,2.785376423084469e-17,0.7019941596026305,1.2925829243047713,190
52,1106.828130298732,1021.7557365715104,1.793646413880882e-15,2.5894452745322663e-14,7.765485828049959,552.5964751387996,193
53,1666.8323821801275,1686.3202266451274,2.5694293576194537e-16,1.1117102947222823e-15,3.3656556024590474,39.26310317782228,201
54,1806.1945565883943,1713.423099988119,2.0408874140776512e-15,9.008202654103318e-15,1.904099696201314,82.93745695057801,203
55,1622.8496767633337,1563.4064463679165,8.607408194467676e-18,2.8414425132553845e-17,0.9262442216110035,10.081736993619014,205
56,1678.1732391925382,1641.388745558061,2.0804590590189e-16,7.250176482929005e-16,0.5932629277671988,10.498250400033953,211
57,2877.3442211547062,2638.5137537333285,2.5499206848955506e-16,5.22199524678077e-16,779.4318617801869,716.7491512474649,215
58,2191.238731424018,2584.103565728619,4.274095823353832e-16,5.342843304377983e-16,4.717330664772229,6.876106693811658,219
59,2610.03745852503,2277.061417263578,8.445476633285321e-16,1.905078120272536e-15,7.728550947904297,1.6301348558768116,223
60,2232.0139994882293,2006.090519948801,4.763288235687024e-17,3.111477607175666e-16,49.409745756859216,76.22575522757866,224
61,2301.1906715150913,2139.7895479097115,1.0021020647967832e-16,8.658273187951158e-16,5.360131575607443,13.992144663291052,226
62,1782.0773229608544,1803.396346072094,5.75224298873024e-17,5.69441759831026e-17,5.834041186417832,5.184673821151278,227
63,2225.865894873595,2170.3060505360286,6.993605079375552e-17,6.95865464645093e-16,18.691277661389968,45.68958166620776,228
64,2346.4314507925847,2457.3867725961286,5.622546049753633e-16,9.573306715326532e-16,10.01751937543834,5.227863873358117,231
65,3107.3536107954956,2681.8505526783442,3.5558143870009835e-17,1.4323550999348584e-16,19.238870251420824,5.858401998763893,237
66,2254.7891629679893,2070.1424683969494,2.524418290998019e-17,2.65367567513941e-16,3.375626889341662,38.58947730645852,238
67,2008.8706555471176,1933.1134000118645,2.117501779891127e-15,2.002933459607296e-14,1.8512505765546678,288.44831680948124,240
68,1799.6545868674573,1634.5357899427684,3.154760876804192e-15,3.998225531104585e-14,0.21042055365868578,52.775540232113784,243
69,1939.0150969299343,1842.6242578427277,1.487805332545266e-17,7.040537780382784e-17,1.0836134077673258,28.752692352287312,244
70,2496.378921219715,2211.940365178009,8.456991413264432e-17,1.3046235843970267e-15,11.035868669947165,168.24679303916105,245
71,2038.2409069737757,1996.3381131726576,2.6803205813439382e-14,5.4512032357827256e-14,4.737351131130711,9.380210718526573,246
72,3571.3041557634715,2375.0582154067965,6.515633622280143e-17,2.1771501908876226e-15,186.8552621468298,398.45999319943303,247
73,1904.328340678981,1824.344375630658,4.694924905818386e-17,4.5298341729028796e-17,2.7392903982677046,8.421804968995685,248
74,2597.6382400605175,2343.2767867277375,2.6632461314845416e-17,3.859937235667241e-16,24.734646865459258,71.15098803484929,249
75,2146.484861676673,2014.0804655654538,3.121236485062633e-17,1.3218656957143099e-16,12.079408293451154,12.51441570592394,250
76,2807.0783246956553,1761.9431208236733,2.037641602470152e-17,5.491480943489656e-16,15.091013458600553,83.29161186469445,251
77,2249.8415051357233,2112.6302064300817,9.5758654598459e-16,5.739395893857156e-15,1.78991220262938,139.67909658448866,253
78,1877.5704702107912,1519.8235843515038,2.7956343955836257e-14,4.335937118281596e-13,9.67340536789144,110.35399477997757,256
79,2127.0941268207307,2115.6634365489813,4.288952958513277e-17,2.9857928747031738e-16,2.651023821310027,70.99267248910354,257
80,1860.445214978857,1643.994493877366,6.228215528449613e-17,1.9509608392884734e-15,1.0488137060325038,143.07789065395653,260
81,1560.3965394680304,1546.822278501998,3.2819226827925355e-15,3.876743584726267e-14,2.058251561568513,409.10063330020665,262
82,1656.3321941947727,1525.222506843738,3.798951821333908e-15,3.256450530374784e-14,1.71674642744557,21.858191680869716,263
83,1743.1650872844532,1722.9071916650082,1.1395679045499337e-16,8.722550203434045e-16,1.683267612831611,71.58673414597497,265
84,1809.5463049257476,1635.766327969796,1.8880858907630269e-16,2.0613367663209684e-15,1.850822923749122,77.10978324405005,266
85,2164.191857061434,1994.9363315207386,3.4592243750143307e-15,7.243147162890425e-15,1.8165873817306992,22.37530054337519,270
86,2546.9711030060234,2391.8757019181894,1.3998374466756682e-16,4.1989822136161845e-16,315.96819558042574,434.84429181389,275
87,4131.484872354817,2626.3741645906975,5.273386832919651e-17,8.054718114292061e-16,12921.2121217588,42366.64065136749,322
88,2399.1041451611113,2280.04970725219,1.4748261049826154e-16,1.6827572744554251e-15,900.9776516404843,3744.4025210709124,323
89,2231.1971637191764,2567.7990966604434,9.315918720440545e-17,7.585934435829732e-16,45.483375259879494,1924.8782873748708,326
90,2934.923844216848,2613.5559728763938,1.9261167992363762e-17,5.704939268148817e-16,52.09240398339574,1276.4954355670552,329
91,2111.805391998868,2523.686379371527,2.0348281582080614e-16,8.19664982891314e-16,559.4270048650748,884.2426259303081,333
