,WVSC,Z1,Y1,J1,H1,K1,Z2,Y2,J2,H2,K2
0,7.0,9.032216595232352e-05,8.002260188833408e-05,0.00013280875674876548,0.00011687303388867098,0.0001545250382301205,4.868589969541558e-05,6.822620266753765e-05,9.395372427997973e-05,0.0001393215828858079,9.497970142180815e-05
1,11.0,7.522754148540925e-05,4.5578809814054325e-05,7.181946718252755e-05,7.707099155650022e-05,7.136232243444969e-05,2.3419757831366054e-05,3.260945946557822e-05,3.229752179673194e-05,4.4555897891016824e-05,4.035743909241763e-05
2,13.0,0.02069754060095648,0.01926895973634394,0.017800788418117525,0.01376501880449612,0.008928623469639813,0.03390514452870383,0.03189818702014019,0.02873698491478833,0.02433665020734932,0.01570128511882931
3,15.0,0.0028009257521721086,0.002594819587286497,0.002588268566768191,0.002318925113114674,0.0016203294784150534,0.006002627589216533,0.0063939200275828605,0.0069424314469190024,0.007397909257995745,0.005146106857808395
4,22.0,0.00010403174100722065,7.57352295728938e-05,0.00012272922222156127,0.0001317790355926561,0.00011948151141746909,0.00019238641415503756,0.0001827930166057498,0.0001394196538053889,0.0001056671514564279,5.390735209474885e-05
5,23.0,5.863207385527797e-05,5.513546776364363e-05,8.118440269420638e-05,7.748371648359818e-05,6.645370381232944e-05,5.833757873005364e-05,5.9666147857678196e-05,6.494217056859224e-05,6.190794669817802e-05,5.0847265254984274e-05
6,24.0,7.01520752844434e-05,7.005057413416342e-05,0.00010909083738408632,0.00012165664076508028,0.00016344638935012008,9.722223485187297e-05,0.00010730955650609685,0.00010432173468665852,0.00015114187305716634,0.00010601565477852667
7,25.0,0.0013422114300802339,0.0015787746934578756,0.0013148710218506207,0.0009692493219748779,0.0007327519889698255,0.0025729349124548745,0.0024150003609615827,0.0022649655458059845,0.0019681581820261917,0.0013444541622551435
8,26.0,9.890263938403782e-05,0.00013843183726439215,0.00014944814587943104,0.00020543882213678287,0.00017230354235716185,0.00018704202684844347,0.0002910824354823503,0.00039442097288818156,0.0004616707926313673,0.0003860031066527163
9,27.0,0.0001295319986029197,9.468601047822774e-05,0.00014362590095371081,0.00014526428243599997,0.0001070873159681814,0.00021278999286206504,0.00022664304688128364,0.0002706026217683467,0.00027289601884947803,0.00018959933073827277
