,T1,T1ERR,T2,T2ERR,N1,N2,CHI1,CHI2,WVSC,BOLO1,BOLO2,DIST,DISTERR,BOLO1ABS,BOLO2ABS,SPEC1,SPEC2,MSQ1,MSQ2
0,1925.8528107929806,0.0023268222291820727,1854.2513580000784,0.0004469975278980296,7.615548765081619e-16,5.152849619635476e-16,3.24529167246842,2.571175147084427,11,0.018812909338547668,0.010939140507956753,3.0774069115721865,[15.55363165],0.001781664030582295,0.0010359840053328442,COLD,COLD,NOT_MSQ,NOT_MSQ
1,1857.781821258819,0.001208454045822612,3176.287368543547,0.0011829765432572856,1.6082721306401981e-15,1.4646238226472335e-16,1.852672372751517,1.3958457562449225,22,0.03440327117091134,0.02677162137167451,6.0720380522480655,[4.0132553],0.012684364330272873,0.009870602057096294,COLD,M,NOT_MSQ,MSQ
2,1982.1496088160552,0.00029963323452680097,2199.3920942382333,0.0003604258675317197,6.784560090942942e-16,3.3850150016517293e-16,0.42015028517250597,1.4326665404098158,23,0.018807477700898138,0.014224486352334371,9.360182217288076,[28.13347271],0.016477797533398116,0.012462500812597397,COLD,COLD,NOT_MSQ,NOT_MSQ
3,2633.916668433096,0.01643478686982807,2489.198624042304,0.016903710906694912,2.8384142718087692e-15,6.63183603754548e-15,37.587386659748596,309.1107458432634,25,0.24533064691714998,0.4572347533911693,3.412026166637599,[0.29292038],0.02856120393450583,0.05323091591552706,M,M,MSQ,MSQ
4,1830.6998516736965,0.0010921700995628234,1776.5749121434949,0.0023188990957878856,2.472128733497635e-15,6.60787695112025e-15,1.504055380210734,121.06093658413907,26,0.04986554658077884,0.11821047928524214,0.9654908999909643,[0.57479949],0.0004648330009441111,0.0011019257903889313,COLD,COLD,NOT_MSQ,NOT_MSQ
5,2264.927324012867,0.0017824500755540184,2211.000474410347,0.0017208235237270834,1.5353917103268004e-15,4.1355801790558384e-15,1.8174546849192617,50.089207954721154,31,0.07256081378486699,0.17748319576104482,0.317010254781183,[0.06594892],7.292035380457835e-05,0.00017836262790043008,COLD,COLD,NOT_MSQ,NOT_MSQ
6,2749.720720108327,0.020529405502679586,2693.348921503555,0.07329067170424769,8.672433300837772e-15,2.065568646117029e-14,104.55236115164742,4623.474428233019,32,0.8903559052607941,1.9519929320597882,2.4001766990884454,[0.07935049],0.0512920520247026,0.11245134943394998,M,M,MSQ,MSQ
7,1930.2497058614185,0.001033733041390966,2129.2097505544657,0.0010005815872212664,1.7199488670537365e-15,1.6657833889866703e-15,0.4218916132637602,3.514254357563647,33,0.042877748152536234,0.06148328295022926,3.3054972015016117,[1.23081045],0.004684956434155076,0.006717855168744806,COLD,COLD,NOT_MSQ,NOT_MSQ
8,1440.285290987128,0.014625387894264713,2044.944344844853,0.000720076164599601,1.3091724518333902e-14,1.264341462495916e-15,16.611682162209984,1.727228992253193,38,0.10116747763022803,0.039705825330451035,3.8355109082141183,[1.95356606],0.014882893241528207,0.005841181111777584,COLD,COLD,NOT_MSQ,NOT_MSQ
9,2464.214958044859,0.0021390444388498814,2499.5314381243097,0.006591365509810769,2.413912810412279e-15,2.9601306848801887e-15,11.326991711327931,183.1358686293445,41,0.1598464706085429,0.20749736891464196,3.9531748025903104,[0.79304661],0.024980152686343744,0.03242684019089836,M,M,MSQ,MSQ
